区分,一般名コード,一般名処方の標準的な記載,成分名,規格,一般名処方加算対象,例外コード,同一剤形・規格内の最低薬価,備考,薬価基準収載医薬品コード_例外コード,品名_例外コード,備考_例外コード
内用薬,2171014G4ZZZ,【般】ニフェジピン徐放錠２０ｍｇ（２４時間持続）,ニフェジピン,２０ｍｇ１錠,"加算1,2",,6.9,先発品はアダラートＣＲ錠２０ｍｇ,,,
内用薬,2171014G5ZZZ,【般】ニフェジピン徐放錠４０ｍｇ（２４時間持続）,ニフェジピン,４０ｍｇ１錠,"加算1,2",,13.3,先発品はアダラートＣＲ錠４０ｍｇ,,,
内用薬,2171014M1ZZZ,【般】ニフェジピンカプセル５ｍｇ,ニフェジピン,５ｍｇ１カプセル,加算1,,6.1,,,,
内用薬,2171014M2ZZZ,【般】ニフェジピンカプセル１０ｍｇ,ニフェジピン,１０ｍｇ１カプセル,加算1,,6.1,,,,
内用薬,2171014N1ZZZ,【般】ニフェジピン徐放カプセル１０ｍｇ（１２時間持続）,ニフェジピン,１０ｍｇ１カプセル,"加算1,2",,5.9,先発品はセパミット－Ｒカプセル１０／該当する先発品の経過措置期限が令和８年３月３１日であることから、同年４月１日以降は一般名処方マスタから削除される予定,,,
内用薬,2171014N2ZZZ,【般】ニフェジピン徐放カプセル２０ｍｇ（１２時間持続）,ニフェジピン,２０ｍｇ１カプセル,"加算1,2",,6.1,先発品はセパミット－Ｒカプセル２０／該当する先発品の経過措置期限が令和８年３月３１日であることから、同年４月１日以降は一般名処方マスタから削除される予定,,,
内用薬,2171017F1ZZZ,【般】ニコランジル錠２．５ｍｇ,ニコランジル,２．５ｍｇ１錠,"加算1,2",,5.9,,,,
内用薬,2171017F2ZZZ,【般】ニコランジル錠５ｍｇ,ニコランジル,５ｍｇ１錠,"加算1,2",,6.1,,,,
内用薬,2171018K1ZZZ,【般】ニトログリセリン舌下錠０．３ｍｇ,ニトログリセリン,０．３ｍｇ１錠,加算1,,10,,,,
内用薬,2171020F1ZZZ,【般】ニトレンジピン錠５ｍｇ,ニトレンジピン,５ｍｇ１錠,"加算1,2",,10.1,,,,
内用薬,2171020F2ZZZ,【般】ニトレンジピン錠１０ｍｇ,ニトレンジピン,１０ｍｇ１錠,"加算1,2",,10.4,,,,
